Name,Rating,Description
Samsung SM-B310EZDDINS,Not rated,"100 MB RAM | 100 MB ROM | Expandable Upto 100 MB
4.57 cm (1.8 inch) VGA Display
0MP | 0MP Front Camera
800 mAh Battery
NA Processor
1 YEAR
"
"Samsung M31 Prime (Space Black, 128 GB)",4.3,"6 GB RAM | 128 GB ROM
16.26 cm (6.4 inch) Display
64MP Rear Camera
6000 mAh Battery
1 Year
"
"Samsung Galaxy M21 (Iceberg Blue, 64 GB)",4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
16.26 cm (6.4 inch) Full HD+ Display
48MP + 8MP + 5MP | 20MP Front Camera
6000 mAh Battery
 Exynos 9611-Octa Core processor Processor
1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
"
"Samsung M31 Prime (IceBerg Blue, 128 GB)",4.3,"6 GB RAM | 128 GB ROM
16.26 cm (6.4 inch) Display
64MP Rear Camera
6000 mAh Battery
1 Year
"
"Samsung M31 Prime (Ocean Blue, 128 GB)",4.3,"6 GB RAM | 128 GB ROM
16.26 cm (6.4 inch) Display
64MP Rear Camera
6000 mAh Battery
1 Year
"
"Samsung Galaxy S20 FE (Cloud Mint, 128 GB)",4.2,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.51 cm (6.5 inch) Full HD+ Display
12MP + 12MP + 8MP Rear Camera | 32MP Front Camera
4500 mAh Lithium Ion Battery
Exynos Octa Core Processor
Super AMOLED Display | 120 Hz Rate
IP68 Rating
1 Year Warranty Provided by the Manufacturer from Date of Purchase
"
"Samsung Galaxy A21s (Black, 128 GB)",4.2,"6 GB RAM | 128 GB ROM | Expandable Upto 512 GB
16.51 cm (6.5 inch) HD+ Display
48MP + 8MP + 2MP + 2MP | 13MP Front Camera
5000 mAh Lithium-ion Battery
Exynos 850 Octa Core Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
"
"Samsung Galaxy A21s (Blue, 128 GB)",4.2,"6 GB RAM | 128 GB ROM | Expandable Upto 512 GB
16.51 cm (6.5 inch) HD+ Display
48MP + 8MP + 2MP + 2MP | 13MP Front Camera
5000 mAh Lithium-ion Battery
Exynos 850 Octa Core Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
"
"Samsung Galaxy A21s (Silver, 128 GB)",4.2,"6 GB RAM | 128 GB ROM | Expandable Upto 512 GB
16.51 cm (6.5 inch) HD+ Display
48MP + 8MP + 2MP + 2MP | 13MP Front Camera
5000 mAh Lithium-ion Battery
Exynos 850 Octa Core Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
"
"Samsung Galaxy S20 FE (Cloud Red, 128 GB)",4.2,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.51 cm (6.5 inch) Full HD+ Display
12MP + 12MP + 8MP Rear Camera | 32MP Front Camera
4500 mAh Lithium Ion Battery
Exynos Octa Core Processor
Super AMOLED Display | 120 Hz Rate
IP68 Rating
1 Year Warranty Provided by the Manufacturer from Date of Purchase
"
"Samsung Galaxy S20 FE (Cloud Lavender, 128 GB)",4.2,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.51 cm (6.5 inch) Full HD+ Display
12MP + 12MP + 8MP Rear Camera | 32MP Front Camera
4500 mAh Lithium Ion Battery
Exynos Octa Core Processor
Super AMOLED Display | 120 Hz Rate
IP68 Rating
1 Year Warranty Provided by the Manufacturer from Date of Purchase
"
"Samsung Galaxy S20 FE (Cloud White, 128 GB)",4.2,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.51 cm (6.5 inch) Full HD+ Display
12MP + 12MP + 8MP Rear Camera | 32MP Front Camera
4500 mAh Lithium Ion Battery
Exynos Octa Core Processor
Super AMOLED Display | 120 Hz Rate
IP68 Rating
1 Year Warranty Provided by the Manufacturer from Date of Purchase
"
"Samsung Galaxy S20 FE (Cloud Navy, 128 GB)",4.2,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.51 cm (6.5 inch) Full HD+ Display
12MP + 12MP + 8MP Rear Camera | 32MP Front Camera
4500 mAh Lithium Ion Battery
Exynos Octa Core Processor
Super AMOLED Display | 120 Hz Rate
IP68 Rating
1 Year Warranty Provided by the Manufacturer from Date of Purchase
"
"Samsung M31s (Mirage Blue, 128 GB)",4.7,"8 GB RAM | 128 GB ROM | Expandable Upto 512 GB
16.51 cm (6.5 inch) Full HD+ Display
64MP + 12MP | 32MP Front Camera
6000 mAh Battery
Exynos 9611 octa core processor Processor
1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
"
"Samsung GALAXY M51 (Celestial Black, 128 GB)",4.3,"6 GB RAM | 128 GB ROM
17.02 cm (6.7 inch) Display
64MP Rear Camera
7000 mAh Battery
ONE YEAR COMPANY WARRANTY
"
"Samsung GALAXY M51 (ELECTRIC BLUE, 128 GB)",4.3,"6 GB RAM | 128 GB ROM
17.02 cm (6.7 inch) Display
64MP Rear Camera
7000 mAh Battery
ONE YEAR COMPANY WARRANTY
"
"Samsung Galaxy F41 (Fusion Green, 64 GB)",4.3,"6 GB RAM | 64 GB ROM | Expandable Upto 512 GB
16.26 cm (6.4 inch) Full HD+ Display
64MP + 8MP + 5MP | 32MP Front Camera
6000 mAh Lithium-ion Battery
Exynos Octa Core Processor
Super AMOLED Display
1 Year Warranty Provided by the Manufacturer from Date of Purchase
"
"Samsung Galaxy F41 (Fusion Black, 64 GB)",4.3,"6 GB RAM | 64 GB ROM | Expandable Upto 512 GB
16.26 cm (6.4 inch) Full HD+ Display
64MP + 8MP + 5MP | 32MP Front Camera
6000 mAh Lithium-ion Battery
Exynos Octa Core Processor
Super AMOLED Display
1 Year Warranty Provided by the Manufacturer from Date of Purchase
"
"Samsung Galaxy F41 (Fusion Blue, 64 GB)",4.3,"6 GB RAM | 64 GB ROM | Expandable Upto 512 GB
16.26 cm (6.4 inch) Full HD+ Display
64MP + 8MP + 5MP | 32MP Front Camera
6000 mAh Lithium-ion Battery
Exynos Octa Core Processor
Super AMOLED Display
1 Year Warranty Provided by the Manufacturer from Date of Purchase
"
"Samsung Galaxy F41 (Fusion Black, 128 GB)",4.3,"6 GB RAM | 128 GB ROM | Expandable Upto 512 GB
16.26 cm (6.4 inch) Full HD+ Display
64MP + 8MP + 5MP | 32MP Front Camera
6000 mAh Lithium-ion Battery
Exynos Octa Core Processor
Super AMOLED Display
1 Year Warranty Provided by the Manufacturer from Date of Purchase
"
"Samsung Galaxy F41 (Fusion Blue, 128 GB)",4.3,"6 GB RAM | 128 GB ROM | Expandable Upto 512 GB
16.26 cm (6.4 inch) Full HD+ Display
64MP + 8MP + 5MP | 32MP Front Camera
6000 mAh Lithium-ion Battery
Exynos Octa Core Processor
Super AMOLED Display
1 Year Warranty Provided by the Manufacturer from Date of Purchase
"
"Samsung Galaxy F41 (Fusion Green, 128 GB)",4.3,"6 GB RAM | 128 GB ROM | Expandable Upto 512 GB
16.26 cm (6.4 inch) Full HD+ Display
64MP + 8MP + 5MP | 32MP Front Camera
6000 mAh Lithium-ion Battery
Exynos Octa Core Processor
Super AMOLED Display
1 Year Warranty Provided by the Manufacturer from Date of Purchase
"
"Samsung Galaxy M31s (Mirage Black, 128 GB)",4.3,"6 GB RAM | 128 GB ROM
16.51 cm (6.5 inch) Display
64MP Rear Camera
6000 mAh Battery
1 YEAR
"
"Samsung Galaxy M31 (Space Black, 128 GB)",4.1,"8 GB RAM | 128 GB ROM | Expandable Upto 512 GB
16.26 cm (6.4 inch) Full HD+ Display
64MP + 8MP + 5MP + 5MP | 32MP Front Camera
6000 mAh Battery
Samsung Exynos 9 Octa 9611 Processor
1 year
"
